,protName,core,fcc,r,zp,eads,psi,theta,ph,sd,eave
75,1hzh,Ag,111,10.0,-30.0,-150.58071,120.0,55.0,7.3,8.2634136,-150.5807085842578
76,1hzh,Ag,111,10.0,-50.0,-154.38426,15.0,135.0,7.3,18.4138986,-154.38406733258037
77,1hzh,Ag,111,4.0,-50.0,-130.90498,175.0,20.0,7.3,5.656757100000001,-130.89900389446433
78,1hzh,Ag,111,8.0,-10.0,-147.82907,175.0,25.0,7.3,8.02527,-147.55163665085288
79,1hzh,Ag,111,50.0,0.0,-143.95957,175.0,35.0,7.3,19.9588191,-143.61837010253885
80,1hzh,Ag,111,35.0,0.0,-168.67188,180.0,35.0,7.3,19.4303664,-168.6718799548727
81,1hzh,Ag,111,50.0,-10.0,-152.69924,5.0,100.0,7.3,47.2072626,-152.57305212710259
82,1hzh,Ag,111,4.0,-40.0,-132.37646,175.0,20.0,7.3,10.5849651,-132.37645464043018
83,1hzh,Ag,111,50.0,-30.0,-142.17302,0.0,130.0,7.3,33.9111855,-141.5660431520707
84,1hzh,Ag,111,15.0,-50.0,-181.31411,120.0,60.0,8.5,7.1321817,-181.31385667453873
85,1hzh,Ag,111,2.0,-60.0,-112.51751,0.0,170.0,8.5,6.8650545,-112.4063303728429
86,1hzh,Ag,111,45.0,-60.0,-152.9835,175.0,35.0,8.5,13.408724700000002,-152.97732876588623
87,1hzh,Ag,111,40.0,-40.0,-175.8698,85.0,85.0,8.5,14.264811600000002,-175.86979999998943
88,1hzh,Ag,111,10.0,-40.0,-143.22076,175.0,25.0,8.5,30.3392805,-142.47707926045933
89,1hzh,Ag,111,35.0,-60.0,-174.65652,120.0,70.0,8.5,43.71207450000001,-174.6560283872334
90,1hzh,Ag,111,35.0,-30.0,-162.84562,180.0,35.0,8.5,16.8744561,-162.84561725500964
91,1hzh,Ag,111,15.0,-40.0,-159.81543,180.0,30.0,8.5,34.260507600000004,-159.81362047405844
92,1hzh,Ag,111,8.0,-20.0,-150.05019,255.0,170.0,8.5,21.7669824,-149.9873040705318
93,1hzh,Ag,111,25.0,-40.0,-157.04386,5.0,130.0,8.5,11.535423,-157.0437480222156
94,1hzh,Ag,111,20.0,0.0,-159.12085,120.0,65.0,8.5,29.250478200000003,-158.96248713259158
95,1hzh,Ag,111,35.0,-40.0,-156.16344,180.0,35.0,8.5,20.4708378,-156.15624483648114
96,1hzh,Ag,111,45.0,-40.0,-163.22014,175.0,35.0,8.5,13.061967300000001,-163.22012389413064
97,1hzh,Ag,111,30.0,-10.0,-153.46155,0.0,130.0,8.5,27.337909200000002,-153.25155901176316
98,1hzh,Ag,111,40.0,-10.0,-163.11973,85.0,85.0,8.5,28.232616000000004,-163.11964742754114
99,1hzh,Ag,111,2.0,0.0,-110.49263,355.0,170.0,8.5,6.787715100000001,-110.10312817993429
100,1hzh,Ag,111,2.0,-40.0,-114.53825,0.0,170.0,8.5,10.678763400000001,-114.53803517146446
